City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sur,22.5667,59.5289,28.55,57,32,2.82,OM,1712694979
1,ginir,7.1333,40.7,16.63,81,5,1.63,ET,1712694979
2,waitangi,-43.9535,-176.5597,16.57,91,33,3.58,NZ,1712694979
3,ilulissat,69.2167,-51.1,-6.99,73,40,2.06,GL,1712694980
4,bethel,41.3712,-73.414,24.64,32,0,2.57,US,1712694980
5,enewetak,11.3474,162.3373,27.16,80,100,9.87,MH,1712694980
6,invercargill,-46.4,168.35,12.79,95,100,1.79,NZ,1712694980
7,margaret river,-33.95,115.0667,12.74,80,30,5.56,AU,1712694981
8,tiksi,71.6872,128.8694,-17.58,98,100,2.56,RU,1712694981
9,port-aux-francais,-49.35,70.2167,8.54,94,100,17.02,TF,1712694981
10,nadi,-17.8,177.4167,28.0,78,40,0.0,FJ,1712694827
11,mount pearl,47.5166,-52.7813,-0.02,93,100,9.77,CA,1712694982
12,luderitz,-26.6481,15.1594,18.52,66,0,8.45,,1712694982
13,blackmans bay,-43.0167,147.3167,8.18,90,54,0.45,AU,1712694983
14,papatowai,-46.5619,169.4708,14.34,85,100,1.78,NZ,1712694983
15,gisborne,-38.6533,178.0042,17.51,74,84,2.38,NZ,1712694983
16,koulamoutou,-1.1303,12.4736,23.52,96,67,1.01,GA,1712694984
17,kristiansund,63.1115,7.732,9.03,81,75,1.54,NO,1712694984
18,albany,42.6001,-73.9662,23.15,26,57,1.25,US,1712694944
19,college,64.8569,-147.8028,1.72,52,75,2.57,US,1712694984
20,bilibino,68.0546,166.4372,-9.59,92,100,1.28,RU,1712694985
21,port mathurin,-19.6833,63.4167,26.81,74,0,3.24,MU,1712694985
22,bignona,12.8103,-16.2264,25.7,41,3,5.79,SN,1712694985
23,arlington,32.7357,-97.1081,18.85,88,75,6.69,US,1712694687
24,wailua homesteads,22.0669,-159.378,25.24,79,0,7.2,US,1712694986
25,lihue,21.9789,-159.3672,25.58,72,0,7.2,US,1712694986
26,lagdo,9.05,13.7333,32.65,36,88,0.46,CM,1712694986
27,haiku-pauwela,20.9219,-156.3051,27.34,67,20,8.23,US,1712694987
28,hawaiian paradise park,19.5933,-154.9731,22.8,86,100,1.54,US,1712694987
29,rexburg,43.826,-111.7897,12.47,39,100,7.72,US,1712694987
30,lompoc,34.6391,-120.4579,26.08,47,0,4.63,US,1712694987
31,hadibu,12.65,54.0333,26.82,76,22,3.68,YE,1712694988
32,salug,8.1147,122.7833,26.03,79,100,2.99,PH,1712694988
33,horta,38.5333,-28.6333,17.8,93,75,9.83,PT,1712694989
34,edinburgh of the seven seas,-37.0676,-12.3116,18.53,90,100,7.06,SH,1712694989
35,hailar,49.2,119.7,-2.54,76,95,3.27,CN,1712694989
36,constantia,44.1833,28.65,11.38,78,0,2.23,RO,1712694989
37,grytviken,-54.2811,-36.5092,2.87,88,100,6.34,GS,1712694990
38,keflavik,64.0049,-22.5624,2.24,64,75,1.54,IS,1712694990
39,masterton,-40.9597,175.6575,20.06,59,36,3.93,NZ,1712694990
40,avarua,-21.2078,-159.775,26.03,89,100,4.12,CK,1712694991
41,touggourt,33.1053,6.058,26.06,27,40,6.17,DZ,1712694991
42,vernon,50.2581,-119.2691,15.2,33,90,4.47,CA,1712694784
43,yellowknife,62.456,-114.3525,7.29,45,20,3.09,CA,1712694901
44,cabedelo,-6.9811,-34.8339,28.37,82,97,6.15,BR,1712694717
45,adamstown,-25.066,-130.1015,23.63,79,39,2.56,PN,1712694992
46,vakarai,55.6035,23.8213,16.29,78,38,3.09,LT,1712694992
47,pacific grove,36.6177,-121.9166,22.42,70,0,4.47,US,1712694947
48,mirnyy,62.5353,113.9611,-8.2,93,100,3.13,RU,1712694993
49,lebu,-37.6167,-73.65,11.89,68,85,10.0,CL,1712694993
50,port augusta,-32.5,137.7667,11.12,70,0,3.09,AU,1712694993
51,iqaluit,63.7506,-68.5145,-6.15,79,100,1.54,CA,1712694994
52,tazovsky,67.4667,78.7,-25.55,99,69,4.51,RU,1712694994
53,jamestown,42.097,-79.2353,23.62,43,40,5.66,US,1712694994
54,siguatepeque,14.6,-87.8333,35.16,12,92,1.9,HN,1712694994
55,asind,25.7333,74.3333,27.97,15,100,1.83,IN,1712694995
56,chonchi,-42.6128,-73.8092,12.56,68,80,3.03,CL,1712694995
57,ribeira grande,38.5167,-28.7,18.22,88,75,9.83,PT,1712694995
58,alaghsas,17.0187,8.0168,28.98,13,82,0.61,NE,1712694995
59,paracale,14.2804,122.7881,26.73,70,90,4.74,PH,1712694996
60,iskateley,67.6803,53.1512,-8.32,85,100,2.24,RU,1712694996
61,san patricio,28.017,-97.5169,32.87,59,61,8.15,US,1712694996
62,san luis de la loma,17.2706,-100.8939,29.6,53,83,4.38,MX,1712694997
63,tulagi,-9.0996,160.1476,28.83,78,100,3.43,SB,1712694997
64,puerto natales,-51.7236,-72.4875,9.25,53,40,10.8,CL,1712694998
65,prince rupert,54.3161,-130.3201,8.05,75,40,7.2,CA,1712694998
66,khorramabad,33.4878,48.3558,13.79,72,0,0.0,IR,1712694998
67,coalcoman de vazquez pallares,18.7833,-103.15,33.15,18,4,3.97,MX,1712694999
68,melekeok village,7.4957,134.6367,26.65,76,100,4.26,PW,1712694999
69,olonkinbyen,70.9221,-8.7187,-2.79,86,34,6.18,SJ,1712694999
70,minas de marcona,-15.2119,-75.1103,20.28,68,61,7.23,PE,1712695000
71,georgetown,5.4112,100.3354,28.3,90,20,1.03,MY,1712694881
72,kolondieba,11.0882,-6.8926,31.03,45,99,2.21,ML,1712695000
73,naivasha,-0.7167,36.4359,17.84,87,100,0.98,KE,1712695000
74,port douglas,-16.4833,145.4667,26.02,80,99,2.16,AU,1712695001
75,vrangel',42.7297,133.0839,1.79,62,0,2.37,RU,1712695001
76,dudinka,69.4058,86.1778,-22.12,96,100,5.64,RU,1712695001
77,barra de santo antonio,-9.4047,-35.5072,25.6,83,99,3.7,BR,1712695001
78,ushuaia,-54.8,-68.3,4.81,70,75,11.32,AR,1712694704
79,zeya,53.75,127.2667,1.94,53,100,2.39,RU,1712695002
80,longyearbyen,78.2186,15.6401,-10.09,85,75,1.03,SJ,1712695002
81,la'ie,21.6477,-157.9253,26.98,70,14,6.26,US,1712695002
82,thompson,55.7435,-97.8558,14.09,23,75,1.54,CA,1712695003
83,suva,-18.1416,178.4415,26.71,94,75,0.0,FJ,1712695003
84,vorgashor,67.5833,63.95,-26.78,100,56,1.4,RU,1712695003
85,arraial do cabo,-22.9661,-42.0278,27.98,74,75,2.57,BR,1712695002
86,ambodifotatra,-16.9833,49.85,26.4,78,46,1.47,MG,1712695004
87,jayapura,-2.5333,140.7,23.66,94,100,2.36,ID,1712695004
88,whitehorse,60.7161,-135.0538,5.61,35,75,5.14,CA,1712695004
89,qaqortoq,60.7167,-46.0333,-2.38,77,0,1.51,GL,1712695004
90,paros,37.0833,25.15,18.5,63,0,7.2,GR,1712695005
91,kiunga,-6.1219,141.2906,23.23,99,100,0.42,PG,1712695005
92,camocim,-2.9022,-40.8411,26.92,86,100,3.51,BR,1712695005
93,talnakh,69.4865,88.3972,-24.59,99,99,3.83,RU,1712694798
94,nanzhou,29.3596,112.4024,15.78,87,35,0.28,CN,1712695006
95,tidjikja,18.5564,-11.4271,28.48,12,0,4.65,MR,1712695006
96,severo-yeniseyskiy,60.3725,93.0408,0.88,91,100,3.13,RU,1712695006
97,port saint john's,-31.6229,29.5448,20.52,77,100,11.38,ZA,1712695007
98,porto novo,6.4965,2.6036,29.9,81,87,3.51,BJ,1712695007
99,agat village,13.3886,144.6585,27.06,90,75,3.6,GU,1712695007
